,raw,raw,raw,raw,raw,raw,dt,dt,dt,dt,dt,dt,env,env,env,env,env,env
,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ
Time,,,,,,,,,,,,,,,,,,
2022-09-10 19:19:09.194500+00:00,-23814.0,27457.0,-2305.0,-1257.0,2052.0,2286.0,-197.0,-255.0,157.0,99.0,-56.0,213.0,334.39049029540297,326.7981028096705,257.72271921582694,157.8733669749271,86.41759080187319,228.02631427096298
2022-09-10 19:19:09.219500+00:00,-23893.0,27408.0,-1783.0,-1401.0,1978.0,2439.0,-79.0,-49.0,522.0,-144.0,-74.0,153.0,140.86281742650658,350.430211787359,524.873635586065,373.0165322520347,186.7592032538155,153.02723069223114
2022-09-10 19:19:09.244500+00:00,-23807.0,27154.0,-1503.0,-1458.0,1760.0,2439.0,86.0,-254.0,280.0,-57.0,-218.0,0.0,170.00392152339703,277.5992315071015,302.2190155058634,293.1160179860527,220.46995260125578,175.51448183364622
2022-09-10 19:19:09.269500+00:00,-23887.0,27011.0,-1568.0,-1403.0,1968.0,2505.0,-80.0,-143.0,-65.0,55.0,208.0,66.0,144.77683976842889,143.26199775236978,131.50285168010615,166.93711390820195,208.09693254186453,178.89661819050687
2022-09-10 19:19:09.294500+00:00,-23979.0,27638.0,-1598.0,-1349.0,2164.0,2488.0,-92.0,627.0,-30.0,54.0,196.0,-17.0,383.0265439017684,628.020965679756,332.17916852204917,141.21378591813664,200.24068850594105,167.14365079176653
2022-09-10 19:19:09.319500+00:00,-23857.0,27465.0,-1658.0,-1343.0,1775.0,2405.0,122.0,-173.0,-60.0,6.0,-389.0,-83.0,132.6046756340062,202.4112974449137,119.5003486745262,190.04297759541998,392.37906841896313,306.478928041282
2022-09-10 19:19:09.344500+00:00,-23923.0,26800.0,-1890.0,-1591.0,1839.0,2314.0,-66.0,-665.0,-232.0,-248.0,64.0,-91.0,337.9072851143244,671.870771304522,334.34562955121754,301.1799019412373,110.96095409347078,117.95903243640709
2022-09-10 19:19:09.369500+00:00,-24124.0,27198.0,-2026.0,-1790.0,1889.0,2395.0,-201.0,398.0,-136.0,-199.0,50.0,81.0,271.84063959116446,399.7653478396212,370.53879688907074,226.1260710311838,169.21386861996072,166.01606347981308
2022-09-10 19:19:09.394500+00:00,-24390.0,26988.0,-1714.0,-1879.0,1557.0,2433.0,-266.0,-210.0,312.0,-89.0,-332.0,38.0,302.0882873157007,394.2858523119151,319.7254030153583,382.31705864809817,340.000490195725,53.814496188294825
2022-09-10 19:19:09.419500+00:00,-24750.0,26522.0,-1573.0,-2080.0,1618.0,2469.0,-360.0,-466.0,141.0,-201.0,61.0,36.0,462.17024280381065,548.473335723807,208.06088852384855,206.2385350348797,149.81321704042003,245.71596068089133
