,stalta,stalta_end,stalta_end_norm,s1,s2,s3,rs1,rs2,rs3,rs3_inv,rs1_stalta,rs2_stalta,rs3_stalta,rs3_inv_stalta
54,4.914773,8.246036,2.8488859294249576,65.3125,-12.875,141.0,141.0,-0.5,-12.9375,-1.0625,-5.375,-5.375,101.25,-5.375
55,3.7993712,7.030057,2.431179420073348,65.3125,-12.875,141.0,141.0,-0.5,-12.9375,-1.0625,-5.375,-5.375,101.25,-5.375
56,3.659253,6.630352,2.3989531362355394,65.3125,-12.875,141.0,141.0,-0.5,-12.9375,-1.0625,-5.375,-5.375,101.25,-5.375
57,3.2515767,6.0841866,2.107626743482478,65.3125,-12.875,141.0,141.0,-0.5,-12.9375,-1.0625,-5.375,-5.375,101.25,-5.375
58,3.4116514,5.761677,2.035282548884506,65.3125,-12.875,141.0,141.0,-0.5,-12.9375,-1.0625,-5.375,-5.375,101.25,-5.375
59,4.4172254,7.9303403,2.8856784828796465,-245.5625,-79.625,-56.3125,-75.1875,-79.625,-151.0,-115.5625,83.75,-66.3125,-45.375,-56.875
60,2.4819345,7.742033,4.277944103179765,25.625,-169.25,-260.25,-176.9375,-177.3125,-204.4375,-5.3125,-5.375,-5.0625,2.9375,-5.5
61,2.4799917,7.7276196,4.269256497087806,25.625,-169.25,-260.25,-176.9375,-177.3125,-204.4375,-5.3125,-5.375,-5.0625,2.9375,-5.5
62,2.4758508,7.7185473,4.263695978374101,25.625,-169.25,-260.25,-176.9375,-177.3125,-204.4375,-5.3125,-5.375,-5.0625,2.9375,-5.5
63,1.917204,5.061093,2.79195849414004,25.625,-169.25,-260.25,-176.9375,-177.3125,-204.4375,-5.3125,-5.375,-5.0625,2.9375,-5.5
64,1.9825114,5.020132,2.598607169194938,-286.9375,-5.25,-55.3125,-79.3125,-57.5,-80.0625,-5.3125,-5.625,31.625,4.5625,-5.6875
65,1.985298,5.0181465,2.597553306409314,-286.9375,-5.25,-55.3125,-79.3125,-57.5,-80.0625,-5.3125,-5.625,31.625,4.5625,-5.6875
66,1.7929693,3.8950515,2.015494737963887,-286.9375,-5.25,-55.3125,-79.3125,-57.5,-80.0625,-5.3125,-5.625,31.625,4.5625,-5.6875
67,2.4374037,7.470762,4.131511210728184,17.75,-36.3125,-37.1875,-12.6875,81.25,-88.25,-5.375,-5.375,-5.4375,11.875,-5.4375
68,2.2681913,6.3431525,3.430844018618425,17.75,-36.3125,-37.1875,-12.6875,81.25,-88.25,-5.375,-5.375,-5.4375,11.875,-5.4375
69,1.8111377,4.7855787,2.696977115131669,17.75,-36.3125,-37.1875,-12.6875,81.25,-88.25,-5.375,-5.375,-5.4375,11.875,-5.4375
70,1.676812,4.104111,2.3149211394788995,17.75,-36.3125,-37.1875,-12.6875,81.25,-88.25,-5.375,-5.375,-5.4375,11.875,-5.4375
71,1.6213045,3.8588636,2.175779843311254,17.75,-36.3125,-37.1875,-12.6875,81.25,-88.25,-5.375,-5.375,-5.4375,11.875,-5.4375
72,3.9028313,6.8225627,3.2518546356788502,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
73,3.896034,6.7956448,3.2433223803518265,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
74,3.8929005,6.780202,3.2356620903070383,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
75,3.888477,6.737081,3.214891732286657,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
76,3.8531957,6.7300863,3.212753441211864,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
77,3.8664143,6.72318,3.2091209530205256,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
78,3.8627644,6.719253,3.2074381695383747,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
79,3.7146611,6.4360404,3.0707326297806468,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
80,3.574524,6.3444333,3.0266187440088923,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
81,3.1526027,5.050022,2.5118512231725045,-5.3125,-5.6875,-6.1875,120.0,11.5,-27.0,5.625,0.125,86.625,14.3125,-5.375
82,6.6244597,12.398639,5.9245531354777645,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
83,3.9986908,7.129064,3.570223167141008,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
84,4.031766,7.0615935,3.419333712276017,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
85,3.8096097,6.703494,3.232835617991883,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
86,3.4404848,6.111719,3.071864428771802,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
87,3.5312307,5.9051685,2.988657538354286,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
88,3.4447265,5.825749,2.7840021117410028,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
89,3.511077,5.62282,2.80466873785569,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
90,3.370422,5.5904045,2.8142295868522207,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
91,3.3149784,5.5704517,2.662333279329014,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
92,3.2640338,5.5451293,2.788469106585145,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
93,3.1220646,5.4038363,2.709291281760553,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
94,2.9203272,4.8660073,2.4298760287985472,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
95,2.868326,4.6416893,2.321493952408808,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
96,2.8532393,4.617698,2.278131420653169,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
97,2.771577,4.593007,2.207458159052439,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
98,2.5056388,4.423139,2.21501642673975,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
99,2.7334578,4.398533,2.09870502498289,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
100,2.6476343,4.395575,2.111242429549076,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
101,2.6336381,4.367191,2.219728116281092,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
102,2.6352034,4.3479366,2.0723403616093607,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
103,2.3982348,4.2311215,2.0069114747926897,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
104,2.7553377,4.2167325,2.034360409179444,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
105,2.550398,4.1704693,2.10032359267888,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
106,2.4717774,4.06474,2.0650459057494044,-5.3125,14.9375,-65.5625,-5.3125,-5.3125,154.4375,-5.3125,-5.3125,-5.3125,6.4375,-5.375
107,3.5538242,6.4801135,3.1137388751525967,57.125,57.125,-146.75,16.8125,-5.375,-21.9375,-146.0,2.25,-5.375,-170.3125,-5.4375
108,6.2457557,12.40784,5.646898038008801,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
109,6.269586,12.388595,5.638331641491934,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
110,4.7203245,9.370425,4.3342917401875365,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
111,4.4812326,8.708334,3.968716067624976,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
112,3.9281425,7.2262163,3.296147749975133,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
113,3.6852841,6.5719876,3.1068216493424163,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
